donor_id,treatment,total_correct
low_iq_01,low_iq,16
low_iq_02,low_iq,21
low_iq_03,low_iq,14
low_iq_04,low_iq,19
low_iq_05,low_iq,9
low_iq_06,low_iq,23
low_iq_07,low_iq,17
low_iq_08,low_iq,12
low_iq_09,low_iq,20
low_iq_10,low_iq,15
low_quest_01,low_quest,18
low_quest_02,low_quest,24
low_quest_03,low_quest,13
low_quest_04,low_quest,21
low_quest_05,low_quest,10
low_quest_06,low_quest,16
low_quest_07,low_quest,22
low_quest_08,low_quest,11
low_quest_09,low_quest,19
low_quest_10,low_quest,15
high_iq_01,high_iq,20
high_iq_02,high_iq,15
high_iq_03,high_iq,25
high_iq_04,high_iq,12
high_iq_05,high_iq,18
high_iq_06,high_iq,9
high_iq_07,high_iq,22
high_iq_08,high_iq,17
high_iq_09,high_iq,14
high_iq_10,high_iq,21
high_quest_01,high_quest,19
high_quest_02,high_quest,13
high_quest_03,high_quest,23
high_quest_04,high_quest,16
high_quest_05,high_quest,10
high_quest_06,high_quest,20
high_quest_07,high_quest,8
high_quest_08,high_quest,17
high_quest_09,high_quest,24
high_quest_10,high_quest,14
